No adding,,,,
SVM,G+S2,G+S3,G+T1,G+F
G+S2,0.54,0.43,0.42,0.74
G+S3,0.42,0.43,0.41,0.53
G+T1,0.83,0.75,0.81,0.82
G+F,0.59,0.82,0.6,0.76
,,,,
,,,,
RF,G+S2,G+S3,G+T1,G+F
G+S2,0.96,0.95,0.56,0.75
G+S3,0.96,0.96,0.56,0.74
G+T1,0.95,0.95,0.96,0.78
G+F,0.95,0.94,0.86,0.99
,,,,
GDBoosting,G+S2,G+S3,G+T1,G+F
G+S2,0.99,0.99,0.6,0.69
G+S3,0.99,0.99,0.6,0.69
G+T1,0.79,0.79,0.99,0.73
G+F,0.91,0.91,0.8,0.99
,,,,
LR,G+S2,G+S3,G+T1,G+F
G+S2,0.85,0.85,0.82,0.82
G+S3,0.85,0.85,0.82,0.82
G+T1,0.69,0.69,0.94,0.88
G+F,0.84,0.84,0.82,0.99
,,,,
Add 10000,,,,
SVM,G+S2,G+S3,G+T1,G+F
G+S2,0.43,0.78,0.56,0.59
G+S3,0.43,0.78,0.54,0.56
G+T1,0.81,0.62,0.81,0.74
G+F,0.78,0.7,0.59,0.76
,,,,
,,,,
RF,G+S2,G+S3,G+T1,G+F
G+S2,0.97,0.96,0.56,0.75
G+S3,0.96,0.96,0.55,0.75
G+T1,0.95,0.95,0.99,0.78
G+F,0.94,0.95,0.9,0.99
,,,,
GDBoosting,G+S2,G+S3,G+T1,G+F
G+S2,0.99,0.99,0.6,0.69
G+S3,0.99,0.99,0.6,0.69
G+T1,0.79,0.79,0.99,0.73
G+F,0.91,0.91,0.86,0.99
,,,,
LR,G+S2,G+S3,G+T1,G+F
G+S2,0.84,0.85,0.82,0.82
G+S3,0.85,0.84,0.82,0.82
G+T1,0.69,0.69,0.95,0.88
G+F,0.84,0.84,0.82,0.87
,,,,
Add 20000,,,,
SVM,G+S2,G+S3,G+T1,G+F
G+S2,0.48,0.42,0.41,0.46
G+S3,0.43,0.41,0.41,0.44
G+T1,0.78,0.77,0.82,0.83
G+F,0.48,0.48,0.62,0.78
,,,,
,,,,
RF,G+S2,G+S3,G+T1,G+F
G+S2,0.96,0.96,0.56,0.75
G+S3,0.96,0.96,0.57,0.76
G+T1,0.95,0.95,0.99,0.78
G+F,0.94,0.95,0.81,0.99
,,,,
GDBoosting,G+S2,G+S3,G+T1,G+F
G+S2,0.99,0.99,0.6,0.69
G+S3,0.99,0.99,0.6,0.69
G+T1,0.79,0.79,1,0.73
G+F,0.91,0.91,0.86,0.99
,,,,
LR,G+S2,G+S3,G+T1,G+F
G+S2,0.83,0.85,0.82,0.82
G+S3,0.85,0.83,0.82,0.82
G+T1,0.69,0.69,0.95,0.88
G+F,0.84,0.84,0.82,0.9
,,,,
Add 30000,,,,
SVM,G+S2,G+S3,G+T1,G+F
G+S2,0.69,0.58,0.4,0.46
G+S3,0.43,0.73,0.41,0.7
G+T1,0.77,0.8,0.86,0.71
G+F,0.63,0.79,0.44,0.83
,,,,
,,,,
RF,G+S2,G+S3,G+T1,G+F
G+S2,0.97,0.96,0.56,0.74
G+S3,0.96,0.97,0.55,0.74
G+T1,0.95,0.95,0.99,0.78
G+F,0.95,0.95,0.69,0.99
,,,,
GDBoosting,G+S2,G+S3,G+T1,G+F
G+S2,0.99,0.99,0.6,0.69
G+S3,0.99,0.99,0.6,0.69
G+T1,0.79,0.8,1,0.73
G+F,0.91,0.91,0.86,0.99
,,,,
LR,G+S2,G+S3,G+T1,G+F
G+S2,0.82,0.85,0.82,0.82
G+S3,0.85,0.82,0.82,0.82
G+T1,0.69,0.69,0.94,0.88
G+F,0.84,0.84,0.82,0.86
,,,,
Add 40000,,,,
SVM,G+S2,G+S3,G+T1,G+F
G+S2,0.53,0.46,0.43,0.58
G+S3,0.42,0.45,0.42,0.54
G+T1,0.87,0.8,0.83,0.76
G+F,0.73,0.81,0.56,0.79
,,,,
,,,,
RF,G+S2,G+S3,G+T1,G+F
G+S2,0.98,0.96,0.56,0.75
G+S3,0.95,0.97,0.57,0.75
G+T1,0.95,0.95,0.99,0.78
G+F,0.94,0.91,0.87,0.99
,,,,
GDBoosting,G+S2,G+S3,G+T1,G+F
G+S2,0.99,0.99,0.6,0.69
G+S3,0.99,0.99,0.6,0.69
G+T1,0.79,0.8,0.99,0.73
G+F,0.91,0.91,0.86,0.99
,,,,
LR,G+S2,G+S3,G+T1,G+F
G+S2,0.8,0.85,0.82,0.82
G+S3,0.85,0.8,0.82,0.82
G+T1,0.69,0.69,0.95,0.88
G+F,0.84,0.84,0.82,0.85