,add,train,test,micro,macro
0,0,social2,social3,0.9572564612326043,0.9570660227264833
1,5,social2,social3,0.957042957042957,0.9568195566488131
2,10,social2,social3,0.9568273092369479,0.9565677267827282
3,15,social2,social3,0.9566094853683148,0.956310356105508
4,20,social2,social3,0.9563894523326572,0.956047259718005
5,0,social3,social2,0.5326295585412668,0.3719900746873588
6,5,social3,social2,0.9045323047251688,0.9028111613376566
7,10,social3,social2,0.9738372093023255,0.9737514165700307
8,15,social3,social2,0.9834469328140214,0.9834010418201715
9,20,social3,social2,0.9823874755381604,0.9823305670816045
10,0,social2,traditional1,0.5508637236084453,0.4444743161530505
11,5,social2,traditional1,0.9295366795366795,0.9292041694164782
12,10,social2,traditional1,0.9502439024390245,0.9500728253862133
13,15,social2,traditional1,0.9390962671905697,0.9389716575389089
14,20,social2,traditional1,0.9396039603960396,0.9393971586208796
15,0,traditional1,social2,0.682341650671785,0.6503919257120094
16,5,traditional1,social2,0.8736740597878495,0.8720169203303044
17,10,traditional1,social2,0.9166666666666666,0.9161878859992068
18,15,traditional1,social2,0.9483933787731256,0.9482804000285057
19,20,traditional1,social2,0.9510763209393346,0.9509589398685585
20,0,social2,russian,0.5636363636363636,0.385914078195024
21,5,social2,russian,0.9805825242718447,0.9801226520284758
22,10,social2,russian,0.9793926247288504,0.9788846902553533
23,15,social2,russian,0.9792802617230099,0.9787261060947392
24,20,social2,russian,0.9791666666666666,0.9785633431683647
25,0,russian,social2,0.7226487523992321,0.6984817855315553
26,5,russian,social2,0.9112825458052073,0.9104994558895267
27,10,russian,social2,0.9486434108527132,0.9484633511824616
28,15,russian,social2,0.9659201557935735,0.9658455471886358
29,20,russian,social2,0.9686888454011743,0.9686137215158773
30,0,social2,fake,0.5143953934740882,0.3736076262165451
31,5,social2,fake,0.5602700096432015,0.46531886024423336
32,10,social2,fake,0.9166666666666666,0.9163244295104593
33,15,social2,fake,0.9454722492697176,0.9453935025180211
34,20,social2,fake,0.949119373776908,0.9490413123607228
35,0,fake,social2,0.8953934740882917,0.8948775261815842
36,5,fake,social2,0.9450337512054002,0.9450090009628935
37,10,fake,social2,0.9505813953488372,0.9505679817043677
38,15,fake,social2,0.9493670886075949,0.9493497526480319
39,20,fake,social2,0.9481409001956947,0.9481146217988323
40,0,social3,traditional1,0.5700575815738963,0.44926264127793114
41,5,social3,traditional1,0.9536679536679536,0.9534038222958512
42,10,social3,traditional1,0.968780487804878,0.9686465239701147
43,15,social3,traditional1,0.9518664047151277,0.9516813499232337
44,20,social3,traditional1,0.9495049504950495,0.9492541812840436
45,0,traditional1,social3,0.5208747514910537,0.3620110732179697
46,5,traditional1,social3,0.8951048951048951,0.8933612143459376
47,10,traditional1,social3,0.9026104417670683,0.9010008330882571
48,15,traditional1,social3,0.9021190716448032,0.9003511092543774
49,20,traditional1,social3,0.9016227180527383,0.8996860797942579
50,0,social3,russian,0.5882352941176471,0.3911123289710268
51,5,social3,russian,0.9741100323624595,0.9732199603258671
52,10,social3,russian,0.9631236442516269,0.9619489221208002
53,15,social3,russian,0.9629225736095965,0.961681971919613
54,20,social3,russian,0.9736842105263158,0.9728485233407431
55,0,russian,social3,0.5238568588469185,0.34934208305484105
56,5,russian,social3,0.913086913086913,0.9115488174109287
57,10,russian,social3,0.9176706827309237,0.9161987785657998
58,15,russian,social3,0.917255297679112,0.9156431145880046
59,20,russian,social3,0.9168356997971603,0.9150742832173708
60,0,social3,fake,0.5220729366602687,0.34835744424352016
61,5,social3,fake,0.5390549662487946,0.39575836478355425
62,10,social3,fake,0.9060077519379846,0.9054537143116201
63,15,social3,fake,0.937682570593963,0.9375161609247853
64,20,social3,fake,0.9471624266144814,0.947055166697366
65,0,fake,social3,0.510934393638171,0.35553124999999997
66,5,fake,social3,0.8851148851148851,0.8835510775938373
67,10,fake,social3,0.8965863453815262,0.8952857777165342
68,15,fake,social3,0.8970736629667003,0.8956187163875786
69,20,fake,social3,0.8975659229208925,0.8960518143909146
70,0,traditional1,russian,0.8962566844919786,0.891885738263234
71,5,traditional1,russian,0.9169363538295577,0.9136818275813281
72,10,traditional1,russian,0.9175704989154013,0.9143043033739194
73,15,traditional1,russian,0.9182115594329335,0.9147804364877272
74,20,traditional1,russian,0.9375,0.9354376377806066
75,0,russian,traditional1,0.9299424184261037,0.9295373975357635
76,5,russian,traditional1,0.946911196911197,0.9467013884017058
77,10,russian,traditional1,0.96,0.9598531115868554
78,15,russian,traditional1,0.9587426326129665,0.9585684827436509
79,20,russian,traditional1,0.9594059405940594,0.9591927636875709
80,0,traditional1,fake,0.963531669865643,0.9635154061624649
81,5,traditional1,fake,0.9633558341369335,0.9633345243146274
82,10,traditional1,fake,0.9602713178294574,0.9602479897106254
83,15,traditional1,fake,0.9600778967867576,0.9600438021728384
84,20,traditional1,fake,0.961839530332681,0.9617894479515683
85,0,fake,traditional1,0.9491362763915547,0.9491227342868329
86,5,fake,traditional1,0.9527027027027027,0.9526793795856883
87,10,fake,traditional1,0.953170731707317,0.9531221415939997
88,15,fake,traditional1,0.9548133595284872,0.954750309214595
89,20,fake,traditional1,0.9534653465346534,0.9533727868771946
90,0,russian,fake,0.9731285988483686,0.9730999586947542
91,5,russian,fake,0.9710703953712633,0.9710374028063276
92,10,russian,fake,0.9680232558139535,0.9679943762728334
93,15,russian,fake,0.9698149951314509,0.9697778596265734
94,20,russian,fake,0.9657534246575342,0.9657034813315526
95,0,fake,russian,0.841711229946524,0.8325232613305191
96,5,fake,russian,0.8942826321467098,0.8900925271725981
97,10,fake,russian,0.9013015184381779,0.897524900611294
98,15,fake,russian,0.906215921483097,0.9025008407018376
99,20,fake,russian,0.9057017543859649,0.9022239952129251
100,0,social2,social2,0.9904153354632588,0.9904055421021978
101,5,social2,social2,0.9635294117647059,0.9413102405277847
102,10,social2,social2,0.9680473372781065,0.9475807655988291
103,15,social2,social2,0.9678571428571429,0.9467304273074674
104,20,social2,social2,0.9676646706586827,0.9458475950279228
105,0,social3,social3,0.976897689768977,0.9766689766689767
106,5,social3,social3,0.9904761904761905,0.98224176567587
107,10,social3,social3,0.9988023952095808,0.9977843760033327
108,15,social3,social3,0.9987951807228915,0.9977268930462098
109,20,social3,social3,0.9987878787878788,0.9976807927472064
110,0,traditional1,traditional1,0.9744408945686901,0.9744197450147106
111,5,traditional1,traditional1,0.9529411764705882,0.9251391531036426
112,10,traditional1,traditional1,0.9656398104265402,0.9436824533429051
113,15,traditional1,traditional1,0.965311004784689,0.9418518474102677
114,20,traditional1,traditional1,0.9651022864019254,0.9408667188500676
115,0,russian,russian,0.9537366548042705,0.9526795082710469
116,5,russian,russian,0.9547677261613693,0.9156642284918147
117,10,russian,russian,0.977859778597786,0.9571784727749426
118,15,russian,russian,0.9777227722772277,0.9565549873345123
119,20,russian,russian,0.9775840597758406,0.9556059265811587
120,0,fake,fake,0.9488817891373802,0.9488687413215715
121,5,fake,fake,0.9223529411764706,0.8822625733497873
122,10,fake,fake,0.9562130177514793,0.9298520757189237
123,15,fake,fake,0.9559523809523809,0.9287546505470625
124,20,fake,fake,0.9532934131736527,0.9240733875649625
