SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
,40000,0.93,G+F->G+S3,RF,,,,,,,,,
,40000,0.7,G+F->G+T1,RF,,,,,,,,,
,40000,0.5,G+F->G+F,RF,,,,,,,,,
,40000,0.67,G+F->G+R,RF,,,,,,,,,
,40000,0.81,G+R->G+S2,RF,,,,,,,,,
,40000,0.94,G+R->G+S3,RF,,,,,,,,,
,40000,0.59,G+R->G+T1,RF,,,,,,,,,
,40000,0.67,G+R->G+F,RF,,,,,,,,,
,40000,0.5,G+R->G+R,RF,,,,,,,,,
,0,0.78,G+S2->G+S2,,,,,,,,,,
,0,0.6,G+S2->G+S3,,,,,,,,,,
,0,0.54,G+S2->G+T1,GDB,,,,,,,,,
,0,0.51,G+S2->G+F,GDB,,,,,,,,,
,0,0.47,G+S2->G+R,GDB,,,,,,,,,
,0,0.57,G+S3->G+S2,GDB,,,,,,,,,
,0,0.94,G+S3->G+S3,GDB,,,,,,,,,
,0,0.53,G+S3->G+T1,GDB,,,,,,,,,
,0,0.41,G+S3->G+F,GDB,,,,,,,,,
,0,0.5,G+S3->G+R,GDB,,,,,,,,,
,0,0.54,G+T1->G+S2,GDB,,,,,,,,,
,0,0.58,G+T1->G+S3,GDB,,,,,,,,,
,0,0.85,G+T1->G+T1,GDB,,,,,,,,,
,0,0.56,G+T1->G+F,GDB,,,,,,,,,
,0,0.49,G+T1->G+R,GDB,,,,,,,,,
,0,0.58,G+F->G+S2,GDB,,,,,,,,,
,0,0.58,G+F->G+S3,GDB,,,,,,,,,
,0,0.7,G+F->G+T1,GDB,,,,,,,,,
,0,0.7,G+F->G+F,GDB,,,,,,,,,
,0,0.41,G+F->G+R,GDB,,,,,,,,,
,0,0.45,G+R->G+S2,GDB,,,,,,,,,
,0,0.45,G+R->G+S3,GDB,,,,,,,,,
,0,0.45,G+R->G+T1,GDB,,,,,,,,,
,0,0.46,G+R->G+F,GDB,,,,,,,,,
,0,0.85,G+R->G+R,GDB,,,,,,,,,
,10000,0.78,G+S2->G+S2,GDB,,,,,,,,,
,10000,0.74,G+S2->G+S3,GDB,,,,,,,,,
,10000,0.69,G+S2->G+T1,GDB,,,,,,,,,
,10000,0.51,G+S2->G+F,GDB,,,,,,,,,
,10000,0.62,G+S2->G+R,GDB,,,,,,,,,
,10000,0.56,G+S3->G+S2,GDB,,,,,,,,,
,10000,0.94,G+S3->G+S3,GDB,,,,,,,,,
,10000,0.69,G+S3->G+T1,GDB,,,,,,,,,
,10000,0.41,G+S3->G+F,GDB,,,,,,,,,
,10000,0.58,G+S3->G+R,GDB,,,,,,,,,
,10000,0.52,G+T1->G+S2,GDB,,,,,,,,,
,10000,0.65,G+T1->G+S3,GDB,,,,,,,,,
,10000,0.85,G+T1->G+T1,GDB,,,,,,,,,
,10000,0.58,G+T1->G+F,GDB,,,,,,,,,
,10000,0.62,G+T1->G+R,GDB,,,,,,,,,
,10000,0.67,G+F->G+S2,GDB,,,,,,,,,
,10000,0.86,G+F->G+S3,GDB,,,,,,,,,
,10000,0.77,G+F->G+T1,GDB,,,,,,,,,
,10000,0.7,G+F->G+F,GDB,,,,,,,,,
,10000,0.57,G+F->G+R,GDB,,,,,,,,,
,10000,0.44,G+R->G+S2,GDB,,,,,,,,,
,10000,0.63,G+R->G+S3,GDB,,,,,,,,,
,10000,0.66,G+R->G+T1,GDB,,,,,,,,,
,10000,0.46,G+R->G+F,GDB,,,,,,,,,
,10000,0.85,G+R->G+R,GDB,,,,,,,,,
,20000,0.79,G+S2->G+S2,GDB,,,,,,,,,
,20000,0.82,G+S2->G+S3,GDB,,,,,,,,,
,20000,0.73,G+S2->G+T1,GDB,,,,,,,,,
,20000,0.51,G+S2->G+F,GDB,,,,,,,,,
,20000,0.65,G+S2->G+R,GDB,,,,,,,,,
,20000,0.56,G+S3->G+S2,GDB,,,,,,,,,
,20000,0.94,G+S3->G+S3,GDB,,,,,,,,,
,20000,0.73,G+S3->G+T1,GDB,,,,,,,,,
,20000,0.45,G+S3->G+F,GDB,,,,,,,,,
,20000,0.64,G+S3->G+R,GDB,,,,,,,,,
,20000,0.51,G+T1->G+S2,GDB,,,,,,,,,
,20000,0.74,G+T1->G+S3,GDB,,,,,,,,,
,20000,0.79,G+T1->G+T1,GDB,,,,,,,,,
,20000,0.69,G+T1->G+F,GDB,,,,,,,,,
,20000,0.67,G+T1->G+R,GDB,,,,,,,,,
,20000,0.71,G+F->G+S2,GDB,,,,,,,,,
,20000,0.9,G+F->G+S3,GDB,,,,,,,,,
,20000,0.78,G+F->G+T1,GDB,,,,,,,,,
,20000,0.7,G+F->G+F,GDB,,,,,,,,,
,20000,0.66,G+F->G+R,GDB,,,,,,,,,
,20000,0.52,G+R->G+S2,GDB,,,,,,,,,
,20000,0.74,G+R->G+S3,GDB,,,,,,,,,
,20000,0.71,G+R->G+T1,GDB,,,,,,,,,
,20000,0.47,G+R->G+F,GDB,,,,,,,,,
,20000,0.85,G+R->G+R,GDB,,,,,,,,,
,30000,0.79,G+S2->G+S2,GDB,,,,,,,,,
,30000,0.87,G+S2->G+S3,GDB,,,,,,,,,
,30000,0.74,G+S2->G+T1,GDB,,,,,,,,,
,30000,0.53,G+S2->G+F,GDB,,,,,,,,,
,30000,0.67,G+S2->G+R,GDB,,,,,,,,,
,30000,0.57,G+S3->G+S2,GDB,,,,,,,,,
,30000,0.94,G+S3->G+S3,GDB,,,,,,,,,
,30000,0.74,G+S3->G+T1,GDB,,,,,,,,,
,30000,0.49,G+S3->G+F,GDB,,,,,,,,,
,30000,0.66,G+S3->G+R,GDB,,,,,,,,,
,30000,0.55,G+T1->G+S2,GDB,,,,,,,,,
,30000,0.76,G+T1->G+S3,GDB,,,,,,,,,
,30000,0.8,G+T1->G+T1,GDB,,,,,,,,,
,30000,0.7,G+T1->G+F,GDB,,,,,,,,,
,30000,0.68,G+T1->G+R,GDB,,,,,,,,,
,30000,0.75,G+F->G+S2,GDB,,,,,,,,,
,30000,0.92,G+F->G+S3,GDB,,,,,,,,,
,30000,0.78,G+F->G+T1,GDB,,,,,,,,,
,30000,0.69,G+F->G+F,GDB,,,,,,,,,
,30000,0.71,G+F->G+R,GDB,,,,,,,,,
,30000,0.55,G+R->G+S2,GDB,,,,,,,,,
,30000,0.79,G+R->G+S3,GDB,,,,,,,,,
,30000,0.7,G+R->G+T1,GDB,,,,,,,,,
,30000,0.49,G+R->G+F,GDB,,,,,,,,,
,30000,0.85,G+R->G+R,GDB,,,,,,,,,
,40000,0.76,G+S2->G+S2,GDB,,,,,,,,,
,40000,0.89,G+S2->G+S3,GDB,,,,,,,,,
,40000,0.76,G+S2->G+T1,GDB,,,,,,,,,
,40000,0.71,G+S2->G+F,GDB,,,,,,,,,
,40000,0.76,G+S2->G+R,GDB,,,,,,,,,
,40000,0.61,G+S3->G+S2,GDB,,,,,,,,,
,40000,0.94,G+S3->G+S3,GDB,,,,,,,,,
,40000,0.76,G+S3->G+T1,GDB,,,,,,,,,
,40000,0.51,G+S3->G+F,GDB,,,,,,,,,
,40000,0.67,G+S3->G+R,GDB,,,,,,,,,
,40000,0.74,G+T1->G+S2,GDB,,,,,,,,,
,40000,0.94,G+T1->G+S3,GDB,,,,,,,,,
,40000,0.79,G+T1->G+T1,GDB,,,,,,,,,
,40000,0.71,G+T1->G+F,GDB,,,,,,,,,
,40000,0.76,G+T1->G+R,GDB,,,,,,,,,
,40000,0.76,G+F->G+S2,GDB,,,,,,,,,
,40000,0.94,G+F->G+S3,GDB,,,,,,,,,
,40000,0.79,G+F->G+T1,GDB,,,,,,,,,
,40000,0.69,G+F->G+F,GDB,,,,,,,,,
,40000,0.72,G+F->G+R,GDB,,,,,,,,,
,40000,0.6,G+R->G+S2,GDB,,,,,,,,,
,40000,0.83,G+R->G+S3,GDB,,,,,,,,,
,40000,0.71,G+R->G+T1,GDB,,,,,,,,,
,40000,0.51,G+R->G+F,GDB,,,,,,,,,
,40000,0.85,G+R->G+R,GDB,,,,,,,,,
,0,0.82,G+S2->G+S2,LR,,,,,,,,,
,0,0.63,G+S2->G+S3,LR,,,,,,,,,
,0,0.56,G+S2->G+T1,LR,,,,,,,,,
,0,0.53,G+S2->G+F,LR,,,,,,,,,
,0,0.49,G+S2->G+R,LR,,,,,,,,,
,0,0.61,G+S3->G+S2,LR,,,,,,,,,
,0,0.96,G+S3->G+S3,LR,,,,,,,,,
,0,0.56,G+S3->G+T1,LR,,,,,,,,,
,0,0.51,G+S3->G+F,LR,,,,,,,,,
,0,0.51,G+S3->G+R,LR,,,,,,,,,
,0,0.58,G+T1->G+S2,LR,,,,,,,,,
,0,0.63,G+T1->G+S3,LR,,,,,,,,,
,0,0.89,G+T1->G+T1,LR,,,,,,,,,
,0,0.57,G+T1->G+F,LR,,,,,,,,,
,0,0.53,G+T1->G+R,LR,,,,,,,,,
,0,0.6,G+F->G+S2,LR,,,,,,,,,
,0,0.57,G+F->G+S3,LR,,,,,,,,,
,0,0.75,G+F->G+T1,LR,,,,,,,,,
,0,0.78,G+F->G+F,LR,,,,,,,,,
,0,0.44,G+F->G+R,LR,,,,,,,,,
,0,0.49,G+R->G+S2,LR,,,,,,,,,
,0,0.48,G+R->G+S3,LR,,,,,,,,,
,0,0.47,G+R->G+T1,LR,,,,,,,,,
,0,0.49,G+R->G+F,LR,,,,,,,,,
,0,0.88,G+R->G+R,LR,,,,,,,,,
,10000,0.82,G+S2->G+S2,LR,,,,,,,,,
,10000,0.89,G+S2->G+S3,LR,,,,,,,,,
,10000,0.77,G+S2->G+T1,LR,,,,,,,,,
,10000,0.55,G+S2->G+F,LR,,,,,,,,,
,10000,0.7,G+S2->G+R,LR,,,,,,,,,
,10000,0.61,G+S3->G+S2,LR,,,,,,,,,
,10000,0.96,G+S3->G+S3,LR,,,,,,,,,
,10000,0.8,G+S3->G+T1,LR,,,,,,,,,
,10000,0.5,G+S3->G+F,LR,,,,,,,,,
,10000,0.72,G+S3->G+R,LR,,,,,,,,,
,10000,0.59,G+T1->G+S2,LR,,,,,,,,,
,10000,0.86,G+T1->G+S3,LR,,,,,,,,,
,10000,0.89,G+T1->G+T1,LR,,,,,,,,,
,10000,0.54,G+T1->G+F,LR,,,,,,,,,
,10000,0.71,G+T1->G+R,LR,,,,,,,,,
,10000,0.69,G+F->G+S2,LR,,,,,,,,,
,10000,0.89,G+F->G+S3,LR,,,,,,,,,
,10000,0.83,G+F->G+T1,LR,,,,,,,,,
,10000,0.77,G+F->G+F,LR,,,,,,,,,
,10000,0.68,G+F->G+R,LR,,,,,,,,,
,10000,0.56,G+R->G+S2,LR,,,,,,,,,
,10000,0.83,G+R->G+S3,LR,,,,,,,,,
,10000,0.75,G+R->G+T1,LR,,,,,,,,,
,10000,0.48,G+R->G+F,LR,,,,,,,,,
,10000,0.88,G+R->G+R,LR,,,,,,,,,
,20000,0.82,G+S2->G+S2,LR,,,,,,,,,
,20000,0.94,G+S2->G+S3,LR,,,,,,,,,
,20000,0.8,G+S2->G+T1,LR,,,,,,,,,
,20000,0.6,G+S2->G+F,LR,,,,,,,,,
,20000,0.76,G+S2->G+R,LR,,,,,,,,,
,20000,0.66,G+S3->G+S2,LR,,,,,,,,,
,20000,0.96,G+S3->G+S3,LR,,,,,,,,,
,20000,0.83,G+S3->G+T1,LR,,,,,,,,,
,20000,0.56,G+S3->G+F,LR,,,,,,,,,
,20000,0.78,G+S3->G+R,LR,,,,,,,,,
,20000,0.66,G+T1->G+S2,LR,,,,,,,,,
,20000,0.93,G+T1->G+S3,LR,,,,,,,,,
,20000,0.89,G+T1->G+T1,LR,,,,,,,,,
,20000,0.59,G+T1->G+F,LR,,,,,,,,,
,20000,0.77,G+T1->G+R,LR,,,,,,,,,
,20000,0.75,G+F->G+S2,LR,,,,,,,,,
,20000,0.94,G+F->G+S3,LR,,,,,,,,,
,20000,0.84,G+F->G+T1,LR,,,,,,,,,
,20000,0.76,G+F->G+F,LR,,,,,,,,,
,20000,0.75,G+F->G+R,LR,,,,,,,,,
,20000,0.63,G+R->G+S2,LR,,,,,,,,,
,20000,0.92,G+R->G+S3,LR,,,,,,,,,
,20000,0.8,G+R->G+T1,LR,,,,,,,,,
,20000,0.55,G+R->G+F,LR,,,,,,,,,
,20000,0.87,G+R->G+R,LR,,,,,,,,,
,30000,0.82,G+S2->G+S2,LR,,,,,,,,,
,30000,0.95,G+S2->G+S3,LR,,,,,,,,,
,30000,0.82,G+S2->G+T1,LR,,,,,,,,,
,30000,0.63,G+S2->G+F,LR,,,,,,,,,
,30000,0.79,G+S2->G+R,LR,,,,,,,,,
,30000,0.7,G+S3->G+S2,LR,,,,,,,,,
,30000,0.96,G+S3->G+S3,LR,,,,,,,,,
,30000,0.85,G+S3->G+T1,LR,,,,,,,,,
,30000,0.6,G+S3->G+F,LR,,,,,,,,,
,30000,0.81,G+S3->G+R,LR,,,,,,,,,
,30000,0.7,G+T1->G+S2,LR,,,,,,,,,
,30000,0.95,G+T1->G+S3,LR,,,,,,,,,
,30000,0.89,G+T1->G+T1,LR,,,,,,,,,
,30000,0.73,G+T1->G+F,LR,,,,,,,,,
,30000,0.8,G+T1->G+R,LR,,,,,,,,,
,30000,0.78,G+F->G+S2,LR,,,,,,,,,
,30000,0.95,G+F->G+S3,LR,,,,,,,,,
,30000,0.85,G+F->G+T1,LR,,,,,,,,,
,30000,0.76,G+F->G+F,LR,,,,,,,,,
,30000,0.78,G+F->G+R,LR,,,,,,,,,
,30000,0.67,G+R->G+S2,LR,,,,,,,,,
,30000,0.94,G+R->G+S3,LR,,,,,,,,,
,30000,0.82,G+R->G+T1,LR,,,,,,,,,
,30000,0.59,G+R->G+F,LR,,,,,,,,,
,30000,0.88,G+R->G+R,LR,,,,,,,,,
,40000,0.82,G+S2->G+S2,LR,,,,,,,,,
,40000,0.96,G+S2->G+S3,LR,,,,,,,,,
,40000,0.82,G+S2->G+T1,LR,,,,,,,,,
,40000,0.65,G+S2->G+F,LR,,,,,,,,,
,40000,0.81,G+S2->G+R,LR,,,,,,,,,
,40000,0.72,G+S3->G+S2,LR,,,,,,,,,
,40000,0.96,G+S3->G+S3,LR,,,,,,,,,
,40000,0.86,G+S3->G+T1,LR,,,,,,,,,
,40000,0.62,G+S3->G+F,LR,,,,,,,,,
,40000,0.83,G+S3->G+R,LR,,,,,,,,,
,40000,0.73,G+T1->G+S2,LR,,,,,,,,,
,40000,0.96,G+T1->G+S3,LR,,,,,,,,,
,40000,0.87,G+T1->G+T1,LR,,,,,,,,,
,40000,0.75,G+T1->G+F,LR,,,,,,,,,
,40000,0.82,G+T1->G+R,LR,,,,,,,,,
,40000,0.8,G+F->G+S2,LR,,,,,,,,,
,40000,0.96,G+F->G+S3,LR,,,,,,,,,
,40000,0.85,G+F->G+T1,LR,,,,,,,,,
,40000,0.76,G+F->G+F,LR,,,,,,,,,
,40000,0.8,G+F->G+R,LR,,,,,,,,,
,40000,0.71,G+R->G+S2,LR,,,,,,,,,
,40000,0.95,G+R->G+S3,LR,,,,,,,,,
,40000,0.83,G+R->G+T1,LR,,,,,,,,,
,40000,0.62,G+R->G+F,LR,,,,,,,,,
,40000,0.88,G+R->G+R,LR,,,,,,,,,